date,value
2024-04-30,0.0013
2024-05-31,0.0074
2024-06-30,-0.0052
2024-07-31,0.0018
2024-08-31,0.0072
2024-09-30,0.0068
2024-10-31,0.0133
2024-11-30,0.0074
2024-12-31,0.0056
2025-01-31,0.0046
2025-02-28,0.0051
2025-03-31,0.007
2025-04-30,0.0032
2025-05-31,0.0093
2025-06-30,0.0115
2025-07-31,-0.0026
2025-08-31,0.0015
2025-09-30,0.0095
2025-10-31,0.0056
2025-11-30,0.0115
2025-12-31,0.0058
2026-01-31,0.0117
2026-02-28,0.0115
2026-03-31,0.0073
2026-04-30,0.0051
2026-05-31,0.0094
2026-06-30,0.0049
2026-07-31,0.013
2026-08-31,0.003
2026-09-30,0.0154
2026-10-31,0.0166
2026-11-30,0.0039
2026-12-31,0.0013
2027-01-31,0.0075
2027-02-28,0.0084
2027-03-31,0.0078
2027-04-30,0.0034
2027-05-31,0.0024
2027-06-30,-0.0002
2027-07-31,0.0054
2027-08-31,0.0061
2027-09-30,0.0028
2027-10-31,0.0136
2027-11-30,0.0076
2027-12-31,0.0043
2028-01-31,0.0028
2028-02-29,0.0077
2028-03-31,0.0075
2028-04-30,0.0135
2028-05-31,0.0079
2028-06-30,0.0024
2028-07-31,0.0053
2028-08-31,0.0099
2028-09-30,0.0091
2028-10-31,0.006
2028-11-30,0.0092
2028-12-31,0.0123
2029-01-31,0.01
2029-02-28,-0.0051
2029-03-31,0.0043
2029-04-30,0.0071
2029-05-31,0.0072
2029-06-30,0.0154
2029-07-31,-0.0053
2029-08-31,-0.0014
2029-09-30,0.0137
2029-10-31,0.0078
2029-11-30,0.0116
2029-12-31,0.014
2030-01-31,0.0029
2030-02-28,0.0186
2030-03-31,0.0004
2030-04-30,0.0121
2030-05-31,-0.0028
2030-06-30,0.0086
2030-07-31,0.0127
2030-08-31,0.0128
2030-09-30,0.0103
2030-10-31,0.0133
2030-11-30,0.005
2030-12-31,0.0034
2031-01-31,0.0131
2031-02-28,0.0011
2031-03-31,0.0072
2031-04-30,0.0061
2031-05-31,0.0124
2031-06-30,0.0038
2031-07-31,0.0145
2031-08-31,0.012
2031-09-30,-0.0014
2031-10-31,0.006
2031-11-30,0.0076
2031-12-31,-0.004
2032-01-31,0.0021
2032-02-29,0.0015
2032-03-31,0.0119
2032-04-30,0.0081
2032-05-31,0.0164
2032-06-30,0.0083
2032-07-31,0.0075
2032-08-31,0.004
2032-09-30,0.0053
2032-10-31,0.0031
2032-11-30,0.0164
2032-12-31,0.0066
2033-01-31,-0.0084
2033-02-28,0.0059
2033-03-31,0.0047
2033-04-30,0.0042
2033-05-31,0.0095
2033-06-30,0.0021
2033-07-31,0.0109
2033-08-31,0.0035
2033-09-30,0.0092
2033-10-31,0.0007
2033-11-30,0.011
2033-12-31,0.0092
2034-01-31,0.012
2034-02-28,0.0011
2034-03-31,-0.0064
2034-04-30,0.0114
2034-05-31,0.007
2034-06-30,0.0046
2034-07-31,0.0092
2034-08-31,0.0139
2034-09-30,0.0065
2034-10-31,0.0094
2034-11-30,0.0106
2034-12-31,-0.0001
2035-01-31,0.0083
2035-02-28,-0.001
2035-03-31,0.0008
2035-04-30,0.0082
2035-05-31,0.0079
2035-06-30,0.0071
2035-07-31,0.0055
2035-08-31,0.0087
2035-09-30,-0.0009
2035-10-31,0.0008
2035-11-30,0.0129
2035-12-31,0.0062
2036-01-31,0.0056
2036-02-29,0.004
2036-03-31,0.0126
2036-04-30,0.0066
2036-05-31,0.0074
2036-06-30,0.0023
2036-07-31,0.0118
2036-08-31,0.008
2036-09-30,0.0043
2036-10-31,0.0046
2036-11-30,0.0128
2036-12-31,0.0079
2037-01-31,0.0131
2037-02-28,0.0129
2037-03-31,0.0075
2037-04-30,0.0038
2037-05-31,0.0054
2037-06-30,0.008
2037-07-31,0.004
2037-08-31,0.0067
2037-09-30,0.0053
2037-10-31,0.002
2037-11-30,0.0111
2037-12-31,-0.004
2038-01-31,0.0029
2038-02-28,0.004
2038-03-31,0.0059
2038-04-30,0.0119
2038-05-31,0.0089
2038-06-30,-0.0029
2038-07-31,0.0123
2038-08-31,0.0045
2038-09-30,0.0094
2038-10-31,0.0047
2038-11-30,0.0053
2038-12-31,0.0013
2039-01-31,0.0112
2039-02-28,0.0115
2039-03-31,0.0096
2039-04-30,0.0098
2039-05-31,0.0092
2039-06-30,0.0087
2039-07-31,-0.001
2039-08-31,-0.002
2039-09-30,0.0106
2039-10-31,0.0077
2039-11-30,0.0014
2039-12-31,0.0008
2040-01-31,0.0033
2040-02-29,0.0062
2040-03-31,0.0087
2040-04-30,0.0085
2040-05-31,0.0001
2040-06-30,0.008
2040-07-31,0.0051
2040-08-31,0.004
2040-09-30,0.0091
2040-10-31,-0.0035
2040-11-30,0.0009
2040-12-31,0.0102
2041-01-31,0.0082
2041-02-28,0.0055
2041-03-31,0.0079
2041-04-30,0.0
2041-05-31,0.0127
2041-06-30,0.0065
2041-07-31,0.0086
2041-08-31,0.0048
2041-09-30,0.0105
2041-10-31,0.0005
2041-11-30,-0.0009
2041-12-31,0.0091
2042-01-31,0.0079
2042-02-28,0.0064
2042-03-31,0.0018
2042-04-30,0.0049
2042-05-31,0.0005
2042-06-30,-0.0031
2042-07-31,0.0078
2042-08-31,-0.003
2042-09-30,0.0141
2042-10-31,-0.0005
2042-11-30,0.006
2042-12-31,0.0068
2043-01-31,-0.0071
2043-02-28,0.0131
2043-03-31,0.0085
2043-04-30,0.0072
2043-05-31,0.0012
2043-06-30,0.0013
2043-07-31,-0.0089
2043-08-31,0.0081
2043-09-30,0.0037
2043-10-31,0.0046
2043-11-30,0.0049
2043-12-31,0.0022
2044-01-31,0.0149
2044-02-29,0.0029
2044-03-31,0.0077
2044-04-30,0.0139
2044-05-31,0.0084
2044-06-30,0.0053
2044-07-31,0.0128
2044-08-31,-0.0053
2044-09-30,0.0094
2044-10-31,0.0084
2044-11-30,0.0106
2044-12-31,0.0063
2045-01-31,0.002
2045-02-28,-0.0018
2045-03-31,0.007
2045-04-30,0.0032
2045-05-31,0.0068
2045-06-30,0.003
2045-07-31,0.0021
2045-08-31,0.0067
2045-09-30,0.0081
2045-10-31,0.0111
2045-11-30,0.0028
2045-12-31,0.0084
2046-01-31,0.0148
2046-02-28,-0.0032
2046-03-31,0.0062
2046-04-30,0.0085
2046-05-31,0.0137
2046-06-30,0.0046
2046-07-31,0.0097
2046-08-31,0.0032
2046-09-30,-0.0025
2046-10-31,-0.001
2046-11-30,0.0015
2046-12-31,0.002
2047-01-31,0.0054
2047-02-28,0.0128
2047-03-31,-0.0076
2047-04-30,0.0078
2047-05-31,0.0101
2047-06-30,0.0043
2047-07-31,0.0017
2047-08-31,0.0101
2047-09-30,0.0043
2047-10-31,0.0081
2047-11-30,0.0131
2047-12-31,0.002
2048-01-31,0.0153
2048-02-29,0.0028
2048-03-31,0.0102
2048-04-30,0.0047
2048-05-31,0.0001
2048-06-30,0.0042
2048-07-31,0.0057
2048-08-31,0.0071
2048-09-30,0.0128
2048-10-31,0.0099
2048-11-30,0.0016
2048-12-31,0.0043
2049-01-31,-0.0001
2049-02-28,0.0021
2049-03-31,0.0081
2049-04-30,0.0077
2049-05-31,0.0039
2049-06-30,0.0039
2049-07-31,-0.0012
2049-08-31,0.0068
2049-09-30,0.0091
2049-10-31,0.0087
2049-11-30,0.0069
2049-12-31,0.0087
2050-01-31,0.0055
2050-02-28,0.0087
2050-03-31,0.009
2050-04-30,0.0128
2050-05-31,0.0093
2050-06-30,0.0107
2050-07-31,0.0122
2050-08-31,0.0112
2050-09-30,0.0001
2050-10-31,0.0094
2050-11-30,-0.0001
2050-12-31,0.0048
2051-01-31,0.007
2051-02-28,0.005
2051-03-31,0.0106
2051-04-30,0.0055
2051-05-31,0.0163
2051-06-30,0.0033
2051-07-31,0.0045
2051-08-31,0.0063
2051-09-30,-0.0016
2051-10-31,0.0089
2051-11-30,0.0151
2051-12-31,0.0111
2052-01-31,0.0098
